OTUId,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S1,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S2,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S3,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S4,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S5,S60,S61,S62,S6,S7,S8,S9,Sum
OTU_6380,0.014484604,0,0,0,0,0,0,0,0,0,0,0.003801342,0,0.014997001,0.001513752,0.008877939,0.001511008,0.006836018,0.016956207,0.00113577,0,0.033433634,0,0,0,0.003072669,0,0,0,0,0,0,0.001720549,0,0,0.006971718,0.010290536,0.008466991,0,0,0,0,0,0.000988553,0,0,0,0,0,0,0,0.028106412,0,0,0.016573239,0,0,0,0.01206571,0,0,0,0.19180365
OTU_4840,0,0,0,0,0,0,0,0,0,0,0,0,0.149365198,0.001153615,0.004541257,0.015536394,0,0,0.00924884,0.00454308,0.000688781,0,0,0.003625389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001439574,0,0,0.000341495,0,0,0,0,0,0,0,0,0,0,0.001206571,0,0,0,0.191690194
OTU_1490,0,0,0,0,0.004177575,0,0.002083659,0,0,0,0,0,0,0.001153615,0,0,0.152611777,0.001367204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241914,0,0,0,0,0,0.002965658,0,0,0,0,0,0,0,0.000653637,0,0,0,0,0,0,0.000603285,0,0,0.023499638,0.191535189
OTU_5221,0.001704071,0.003297446,0,0,0,0,0.002083659,0.00379413,0,0,0,0,0,0,0,0,0,0.001367204,0.001541473,0.019308089,0.011020498,0,0.009764115,0.001812694,0,0,0.017219299,0.021232925,0.002311871,0,0.007946851,0.02514827,0,0.002069151,0.002230749,0,0,0,0,0,0,0,0,0.001977105,0.004318722,0.006060055,0.02214349,0.00136598,0.001807003,0.004479083,0,0.0104582,0,0,0.004874482,0,0,0,0,0,0,0,0.191336616
OTU_577,0,0,0,0.001650555,0.18938339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191033945
OTU_1560,0,0,0.190942538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190942538
OTU_3158,0,0,0,0,0,0,0,0.094853262,0.02901368,0,0,0,0,0.006921693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037731966,0.015724412,0.001771856,0.002848922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001949793,0,0,0,0,0,0,0,0.190815582
OTU_1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008358409,0,0,0,0,0,0,0,0,0,0,0.182378142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190736551
OTU_1859,0,0,0,0,0,0,0,0.001897065,0.002901368,0,0,0,0,0.118822389,0,0.001109742,0,0.016406442,0.007707367,0,0,0.030647498,0,0.007250777,0,0,0,0,0,0,0,0,0,0,0,0.002323906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001662814,0,0.19072937
OTU_2850,0,0,0,0,0,0,0,0,0.001450684,0.001220539,0.001511556,0,0,0.010382539,0,0.002219485,0,0.005468814,0.095571347,0,0,0.019502953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053210063,0,0.190537981
OTU_1358,0.000852036,0.003297446,0,0,0,0,0.001041829,0,0,0.023190245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009372266,0,0.02798136,0,0,0,0,0.010478446,0,0,0,0,0,0,0,0.001424461,0.022437246,0,0,0.048439076,0,0.003030028,0,0,0.034784809,0.002239541,0,0.000653637,0,0,0,0,0,0,0.001206571,0,0,0,0.190428997
OTU_2806,0,0.001648723,0,0.000550185,0,0.000980825,0,0,0,0,0.001511556,0.005702013,0.060788162,0.001153615,0,0.037731243,0.006044031,0,0.001541473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004647812,0,0.015724412,0,0.005697843,0,0.015828002,0,0.005931315,0,0,0,0,0,0,0,0.001307275,0,0,0.002924689,0,0,0,0.015685423,0,0.004988443,0,0.190387041
OTU_2218,0.000852036,0.001648723,0,0,0,0,0,0,0,0,0,0.001900671,0,0,0,0.00443897,0,0,0,0.022715399,0.020663434,0,0.002441029,0.019939637,0.001041363,0.015363343,0.003228618,0,0,0,0.015099018,0,0,0,0.026768984,0,0,0,0,0,0,0,0,0,0.015835313,0,0.010220072,0.022197179,0,0,0,0.003921825,0,0,0,0,0,0,0.001809856,0,0,0,0.19008547
OTU_1341,0,0.075841261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11211937,0,0.002069151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190029782
OTU_6941,0.044305847,0.004946169,0.009979575,0,0.004873837,0.015693198,0,0.001897065,0.005802736,0.007323235,0.001511556,0.001900671,0,0.001153615,0.001513752,0.002219485,0.012088062,0.002734407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01204384,0,0,0.002323906,0,0.010886131,0,0,0,0,0,0.000988553,0,0,0,0,0,0,0,0.0052291,0,0.024169768,0.002924689,0,0,0,0.008445997,0,0.004988443,0,0.189943638
