#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S7	S8	S9
4494	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhodospirillales 	 Acetobacteraceae 	 Gluconobacter 	 Gluconobacter sp	1	7	8	2	0	0	5	11	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	4	3	0	0	1	0	9	2	3	1	24	0	0	0	0	0	0	1	0	0	0	0	0	7	2	11	117	0	0	1	0	0	11	0	0	0	0	0	0
4495	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhizobiales 	 Hyphomicrobiaceae 	 Rhodoplanes 	 Rhodoplanes sp	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	73
4496	Bacteria 	 Proteobacteria 	 Gammaproteobacteria 	 Xanthomonadales 	 Xanthomonadaceae 	 Dokdonella 	 Dokdonella sp	0	0	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	0	98	0	0	0	1	0	35	0	0	0	0	0	0	11	50	0	0	0	0	0	0	0	748	2	0	0	0	0	4	0	0	0	0	0	0
4497	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhizobiales 	 Hyphomicrobiaceae 	 Hyphomicrobium 	 Hyphomicrobium sp	1	11	0	14	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	1
4498	Bacteria 	 Proteobacteria 	 Gammaproteobacteria 	 Xanthomonadales 	 Xanthomonadaceae 	 Kaistibacter 	 Kaistibacter ginsenosidimutans	0	0	0	0	0	0	0	6	0	4	1	0	0	0	0	0	0	0	1	0	7	9	0	11	0	3	0	3	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	2	0	0	0	0	0	0
4499	Bacteria 	 Proteobacteria 	 Alphaproteobacteria 	 Rhizobiales 	 Methylocystaceae 	 Methylocystis 	 Methylocystis heyeri	0	0	4	0	0	0	5	31	1	38	18	0	0	0	0	0	0	0	0	0	1	4	0	158	5	74	2	75	5	30	97	13	0	0	0	1	0	0	0	0	1	0	0	0	0	15	2	0	0	116	1	0	4	0	0	0	0	0	0	0	0	0
4500	Bacteria 	 Proteobacteria 	 Betaproteobacteria 	 Burkholderiales 	 Comamonadaceae 	 Hylemonella 	 Hylemonella sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4501	Bacteria 	 Actinobacteria 	 Actinobacteria (class) 	 Solirubrobacterales 	 Conexibacteraceae 	 Conexibacter 	 Conexibacter sp	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4502	Bacteria 	 Bacteroidetes 	 Flavobacteriia 	 Flavobacteriales 	 Flavobacteriaceae 	 Flavobacterium 	 Flavobacterium sp	0	0	0	0	1072	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4503	No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit 	 No Hit	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4504	Bacteria 	 Proteobacteria 	 Deltaproteobacteria 	 Bdellovibrionales 	 Bacteriovoracaceae 	 Bacteriovorax 	 Bacteriovorax sp	0	4	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
